"","X","Attrition","Age","DistanceFromHome","Education","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_No","BusinessTravel_Travel_Frequently","BusinessTravel_Non-Travel","Department_Research & Development","Department_Human Resources","EducationField_Other","EducationField_Medical","EducationField_Marketing","EducationField_Technical Degree","EducationField_Human Resources","Gender_Male","JobRole_Research Scientist","JobRole_Laboratory Technician","JobRole_Manufacturing Director","JobRole_Healthcare Representative","JobRole_Manager","JobRole_Sales Representative","JobRole_Research Director","JobRole_Human Resources","MaritalStatus_Married","MaritalStatus_Divorced","OverTime_No","predicted_value"
"1","1","Yes","0.547619047619048","0","0.25","0.333333333333333","0.666666666666667","0.25","1","0.26245392311743","0.888888888888889","0","0","0","0","0.2","0","0","0.15","0.222222222222222","0","0.294117647058824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No"
"3","3","Yes","0.452380952380952","0.0357142857142857","0.25","1","0.333333333333333","0","0.666666666666667","0.0569246972090574","0.666666666666667","0.285714285714286","0","0.333333333333333","0","0.175","0.5","0.666666666666667","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","Yes"
"8","8","No","0.285714285714286","0.821428571428571","0","1","0.666666666666667","0","0.666666666666667","0.0886782517114271","0.111111111111111","0.785714285714286","1","0.333333333333333","0.333333333333333","0.025","0.333333333333333","0.666666666666667","0.025","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","No"
"10","10","No","0.428571428571429","0.928571428571429","0.5","0.666666666666667","0.666666666666667","0.25","0.666666666666667","0.222643496577146","0.666666666666667","0.142857142857143","0","0.333333333333333","0.666666666666667","0.425","0.5","0.333333333333333","0.175","0.388888888888889","0.466666666666667","0.411764705882353","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","No"
"19","19","No","0.833333333333333","0.0357142857142857","0.75","0","0.333333333333333","0.75","1","0.759241706161137","0.222222222222222","0.357142857142857","0","0.666666666666667","0","0.775","0.5","0.666666666666667","0.625","0.444444444444444","0.2","0.411764705882353","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","No"
"22","22","Yes","0.428571428571429","0.285714285714286","0.75","0.666666666666667","0.333333333333333","0","0","0.126276987888362","0.777777777777778","0.857142857142857","1","0.333333333333333","0","0.25","0.666666666666667","0.666666666666667","0.125","0.166666666666667","0","0.176470588235294","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","Yes"
"23","23","No","0.380952380952381","0.214285714285714","0.75","0","0.666666666666667","0.5","0.333333333333333","0.578462348604529","0","0","0","0.666666666666667","0","0.325","0.666666666666667","0.666666666666667","0.3","0.333333333333333","0.133333333333333","0.647058823529412","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","No"
"24","24","No","0.0714285714285714","0.5","0.25","0.666666666666667","0.666666666666667","0","1","0.0117430226434966","0.111111111111111","0.214285714285714","0","1","0","0","1","0.666666666666667","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","No"
"28","28","No","0.571428571428571","0.25","0.75","0.666666666666667","0.666666666666667","0.25","0.333333333333333","0.306266456029489","0","0","0","1","0.333333333333333","0.25","0.333333333333333","0.666666666666667","0.225","0.388888888888889","0.266666666666667","0.117647058823529","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","No"
"29","29","No","0.619047619047619","0.214285714285714","0.75","0","0.333333333333333","0.5","1","0.486519220642443","0.333333333333333","0.214285714285714","0","1","0.333333333333333","0.6","0.666666666666667","0.666666666666667","0.55","0.333333333333333","0.333333333333333","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","Yes"
"32","32","No","0.619047619047619","0.321428571428571","0.75","1","0.666666666666667","0.25","1","0.287309110057925","0.222222222222222","0.142857142857143","0","1","0","0.225","0.833333333333333","1","0.1","0.111111111111111","0.0666666666666667","0.176470588235294","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","No"
"34","34","Yes","0.5","0.142857142857143","0.5","1","0.666666666666667","0.25","1","0.0567140600315956","0.333333333333333","0.214285714285714","0","0.666666666666667","0.333333333333333","0.475","1","1","0.025","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","Yes"
